objectid,Title,Subtitle,Subject,Author,Creator,Illustrator,Format,Publisher,Publication Date,Length,Weblink,UPC,ISBN,Classification,File name
coll001,Bread Illustrated,A Step-by-Step Guide to Acheiving Bakery-Quality Results at Home,Baking; Bread,America's Test Kitchen,,,Print (Book),America's Test Kitchen,09/06/2016,432 p.,,,1940352606;,Adult Non-Fiction 641.81 Bread,
coll002,The Bread Bible,,Baking; Bread,Rose Levy Beranbaum,,Alan Witschonke,Print (Book),W. W. Norton & Company,10/17/2003,640 p.,,,393057941,Adult Non-Fiction 641.81 Bread,
coll003,Bench Scraper,,Baking; Bread,,Dexter-Russell,,Tool,,,,,,,,
coll004,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,